iter	Logloss
0	0.09270683734
1	0.04591047968
2	0.03725821609
3	0.02652435751
4	0.02369101612
5	0.02249152512
6	0.02142668671
7	0.01935617621
8	0.01742380709
9	0.01694519133
10	0.01626130995
11	0.01583826976
12	0.01550187635
13	0.01460890064
14	0.01443302287
15	0.01429098475
16	0.01402331663
17	0.01343063189
18	0.01321846118
19	0.01290854336
20	0.01280174671
21	0.01254626459
22	0.01241895913
23	0.01235863691
24	0.01218293012
25	0.01213675771
26	0.0120188074
27	0.01196108358
28	0.01187173577
29	0.01178260498
30	0.01169644393
31	0.01163305902
32	0.01154939322
33	0.01147018802
34	0.01136188672
35	0.01128739072
36	0.0111996631
37	0.01101543461
38	0.01096239624
39	0.01086469961
40	0.01081544853
41	0.0107144248
42	0.01050692694
43	0.01048091108
44	0.0104375055
45	0.01023570679
46	0.01018352636
47	0.01013279367
48	0.01013242134
49	0.01008376056
50	0.01003189844
51	0.00999851701
52	0.009942551547
53	0.009900277412
54	0.009841070746
55	0.009761105264
56	0.009718463032
57	0.009718353764
58	0.009682957673
59	0.009682596192
60	0.009682566649
61	0.009682438697
62	0.009657616639
63	0.009657357034
64	0.009657329102
65	0.009657293101
66	0.009657264445
67	0.009657137343
68	0.00965710294
69	0.009657072783
70	0.009657044973
71	0.009656793541
72	0.009656731583
73	0.009656608735
74	0.009656363117
75	0.009656247965
76	0.009656125978
77	0.009656008141
78	0.009655948706
79	0.009655891293
80	0.009655832098
81	0.009655772284
82	0.009655714866
83	0.009655655524
84	0.009655596881
85	0.009655539866
86	0.009655482266
87	0.009655367843
88	0.00965525441
89	0.009594170231
90	0.009594170231
91	0.009594170231
92	0.009594170231
93	0.009594170231
94	0.009594170231
95	0.009594170231
96	0.009594170231
97	0.009594170231
98	0.009594170231
99	0.009594170231
100	0.009594170231
101	0.009594170231
102	0.009594170231
103	0.009594170231
104	0.009594170231
105	0.009594170231
106	0.009542207886
107	0.009541816937
108	0.009507340448
109	0.009493488722
110	0.009444006472
111	0.009412125447
112	0.009384298265
113	0.009346678487
114	0.009346580373
115	0.009313538156
116	0.009313483668
117	0.009313425096
118	0.009313371594
119	0.009313202962
120	0.009313151545
121	0.00931299583
122	0.009312778458
123	0.009312698489
124	0.009312698489
125	0.009312596268
126	0.009312557763
127	0.009312557763
128	0.009312503719
129	0.009312299298
130	0.009312249162
131	0.009312249162
132	0.009250352939
133	0.009190873306
134	0.009163095561
135	0.00912524912
136	0.009125138994
137	0.009125088176
138	0.009125039043
139	0.009124985267
140	0.009124948855
141	0.009124903667
142	0.009124521489
143	0.009109216302
144	0.009074652755
145	0.009036738168
146	0.008986194346
147	0.008935631326
148	0.008903393918
149	0.008872215658
150	0.008871827433
151	0.008821226002
152	0.008821152089
153	0.008821066251
154	0.008821012679
155	0.008820863835
156	0.00882074647
157	0.008820679274
158	0.008820617124
159	0.008820590706
160	0.008820529545
161	0.008820499548
162	0.008820370984
163	0.008820370984
164	0.008820337507
165	0.008802061086
166	0.008754236456
167	0.008722292679
168	0.008722233239
169	0.008722116222
170	0.008722012159
171	0.008721900788
172	0.008721687733
173	0.008721576346
174	0.008721473192
175	0.008721369326
176	0.008721267111
177	0.008721220478
178	0.008721169421
179	0.008720967047
180	0.00872091841
181	0.008720869563
182	0.008720678165
183	0.008720513776
184	0.008719945995
185	0.008719913941
186	0.008719850969
187	0.00871957306
188	0.008719429515
189	0.008719332383
190	0.008718775817
191	0.008718683738
192	0.008718523102
193	0.00871850252
194	0.008717793388
195	0.008682312317
196	0.008651788805
197	0.008603955002
198	0.008558078965
199	0.008558056152
200	0.008558032157
201	0.008557842735
202	0.008557822399
203	0.008557796626
204	0.008557773243
205	0.008557680228
206	0.008557590365
207	0.008557498469
208	0.008557473821
209	0.008557451842
210	0.008557429158
211	0.008557403794
212	0.008557225169
213	0.00855720263
214	0.008557181201
215	0.008557157542
216	0.008557132701
217	0.008557112901
218	0.008557092711
219	0.008557070353
220	0.008556791203
221	0.008556768868
222	0.008556746795
223	0.00855672368
224	0.008556702569
